start_time,peak_time,end_time,goes_class,hpc_x,hpc_y,noaa
2013-12-22 21:23:00,2013-12-22 22:08:00,2013-12-22 22:13:00,M1.6,806.4,-268.8,11928
2014-01-04 18:47:00,2014-01-04 19:46:00,2014-01-04 20:23:00,M4.0,-652.8,-38.4,0
2014-01-28 12:33:00,2014-01-28 12:46:00,2014-01-28 12:50:00,M1.3,999999,999999,11967
2014-01-28 12:38:00,2014-01-28 12:46:00,2014-01-28 12:50:00,M1.3,-960,-268.8,0
2014-02-12 03:52:00,2014-02-12 04:25:00,2014-02-12 04:38:00,M3.7,38.4,-38.4,11974
2014-02-16 09:20:00,2014-02-16 09:26:00,2014-02-16 09:29:00,M1.1,-38.4,-38.4,11977
2014-02-23 05:50:00,2014-02-23 06:10:00,2014-02-23 06:36:00,M1.1,268.8,-38.4,0
2014-02-24 11:03:00,2014-02-24 11:17:00,2014-02-24 11:42:00,M1.2,-960,-192,11990
2014-02-24 12:00:00,2014-02-24 12:05:00,2014-02-24 12:10:00,M1.3,268.8,-115.2,11990
2014-03-05 02:06:00,2014-03-05 02:10:00,2014-03-05 02:12:00,M1.0,115.2,-345.6,11991
2014-04-25 00:17:00,2014-04-25 00:27:00,2014-04-25 00:38:00,X1.3,960,-268.8,12035
2014-05-08 09:59:00,2014-05-08 10:07:00,2014-05-08 10:18:00,M5.2,-729.6,115.2,12056
2014-05-24 18:26:00,2014-05-24 18:35:00,2014-05-24 18:44:00,M1.3,729.6,-345.6,12065
2014-10-27 09:59:00,2014-10-27 10:09:00,2014-10-27 10:26:00,M6.7,729.6,-268.8,12192
2014-10-28 03:23:00,2014-10-28 03:32:00,2014-10-28 03:41:00,M6.6,806.4,-268.8,12192
2014-11-06 03:32:00,2014-11-06 03:46:00,2014-11-06 04:02:00,M5.4,-806.4,192,12205
2014-11-07 04:12:00,2014-11-07 04:25:00,2014-11-07 04:38:00,M2.0,-652.8,192,12205
2014-12-05 11:33:00,2014-12-05 12:25:00,2014-12-05 12:47:00,M1.5,-38.4,-268.8,12222
