,noaa,number,hpc_x,hpc_y,classification,hale_classification,numspots
2012-06-07,"11493,11494,11496,11497,11498,11499,11502,11503",8,"284.6033024355403,94.37106687001344,158.4576788345897,453.0022890927183,-16.48033364652656,-79.92311184271239,-188.73493557912298,766.6981604278307","228.21850318068337,-294.791935159479,260.21313244414836,-356.57510431231145,97.72898881861694,244.2413377888353,-278.96139388815067,147.37701704016985","ESI,CSO,HAX,DAO,CAO,BXI,AXX,AXX","BETA-GAMMA,BETA,ALPHA,BETA,BETA,BETA-GAMMA,ALPHA,ALPHA","11,8,1,7,7,14,1,2"
2012-10-02,"11577,11578,11579,11582,11584",5,"938.084395555089,894.5271561231268,340.66228003668857,-32.98007707227953,-244.12334718601778","133.73734216598228,337.6445340487652,-252.4530425870167,-291.96633033161316,-472.1308974060467","DSO,HSX,CAO,HHX,DSO","BETA,ALPHA,BETA,ALPHA,BETA","1,1,2,1,4"
2013-01-11,"11642,11644,11649,11650,11652,11653,11654,11655",8,"740.5652845496053,656.5277878740236,115.34469151534857,-14.951832372928038,-175.62226450676098,-100.53318111901172,-708.5914392925333,174.5169941383202","-360.51104711342475,301.7901483014424,-184.93539750802364,-411.63359302161666,399.52543622465237,255.70102329230122,183.64182475303667,-285.1750683500905","HSX,HSX,HSX,EAO,EAC,HSX,FKI,CSO","ALPHA,ALPHA,ALPHA,BETA,BETA-GAMMA,ALPHA,BETA-GAMMA,BETA","1,1,1,8,29,1,21,3"
2013-03-15,"11689,11690,11691,11692,11694,11695,11696,11697,11698",9,"857.9160665181803,515.453444449902,593.4570523241327,-149.6945826516021,-178.5315162127372,-492.551208964549,150.99585493978032,350.4166651013165,441.1904727685616","-255.1487275713842,494.2709978409462,307.47398805305295,268.33398516110367,363.37764763441805,252.59360332488245,202.77070755654353,356.93217130123605,-229.29630789364748","CRO,BXO,DAO,HSX,HRX,HSX,EAI,CRO,CRO","BETA,BETA,BETA,ALPHA,ALPHA,ALPHA,BETA-GAMMA,BETA,BETA","4,2,8,2,1,1,15,4,6"
2013-04-03,"11704,11707,11708,11710,11711,11713,11714",7,"808.2269386524092,632.3636556867385,-49.66968816635199,94.04509088928374,-541.2985372063704,-357.3911305286456,-852.0434812540188","313.4926084797979,-103.87516947380955,272.4517695639442,-242.96469320517477,-196.32520363967564,232.32220146504702,243.07606755417942","CAO,HRX,CSO,BXO,DKO,CAO,HSX","BETA,ALPHA,BETA,BETA,BETA,BETA,ALPHA","5,3,4,5,7,8,1"
2013-05-05,"11728,11730,11731,11732,11734,11737,11738,11739,11740",9,"890.5744561825176,912.8574339959353,778.4427755615676,342.1443486277909,-63.731469507329166,-328.9691557488404,-673.8730603137519,-779.0574872673023,-804.8904919438064","329.7858941366798,-264.6874998406022,199.6174691248042,-223.14299023393025,-218.99900898863027,318.81521781636997,287.5375330063751,247.1498685667131,-299.5166661610836","BXO,HAX,EAI,DSO,EKI,AXX,CSO,DAC,HSX","BETA,ALPHA,BETA-GAMMA,BETA,BETA-GAMMA,ALPHA,BETA,BETA-GAMMA,ALPHA","2,1,20,12,22,1,2,5,1"
2013-05-23,"11745,11746,11748,11753,11754,11755,11756",7,"909.813493659411,812.544710980878,622.1700577747594,-557.5993999626953,-351.44896503631026,-737.2890264824964,-586.0310761341825","218.05325185997503,-438.91387948025,218.5017535521938,89.57833085754834,-284.4602227139169,182.36907696485352,-304.52636984128077","CAO,HSX,DAO,CRO,CRO,DSI,DAI","BETA,ALPHA,BETA-GAMMA,BETA,BETA,BETA-GAMMA,BETA-GAMMA","3,1,7,3,3,7,13"
2013-05-24,"11745,11746,11748,11753,11754,11755,11756",7,"914.263671513256,836.374056625704,760.9430501703471,-355.4976644203998,-140.72255857591517,-599.7645930328872,-405.69610476633534","244.12422754739026,-444.18343497163204,212.4335929679161,91.20435223870736,-284.5059978919053,201.5011517150413,-302.6153531414163","AXX,HSX,CRO,CRO,CRO,DHI,EHI","ALPHA,ALPHA,BETA,BETA,BETA,BETA-GAMMA,BETA-GAMMA","1,1,3,7,7,9,19"
2013-05-25,"11748,11753,11754,11755,11756",5,"866.2455066612291,-148.2643859067466,47.07308100953768,-409.20344126271084,-231.3193467920646","205.8697133511044,107.41752234330721,-286.06202702451833,203.36659248153163,-302.5672413485349","CRO,BXO,CRO,DAI,EHI","BETA,BETA,BETA,BETA-GAMMA,BETA-GAMMA","4,3,9,12,21"
2013-05-26,"11748,11753,11754,11755,11756,11757",6,"916.2617711699673,66.10460304885721,262.8746941825342,-194.11364538013004,-15.597546624951065,-880.2506450854708","215.77598331870124,105.69398319840889,-288.7521504649164,203.4622976224107,-303.6313497947546,-140.59148401962443","AXX,AXX,DRO,DAI,EHI,HSX","ALPHA,ALPHA,BETA,BETA,BETA-GAMMA,ALPHA","2,2,9,12,21,1"
